META:Default Deck|John Warnes|00001|1457720578|English
﻿Do you understand this language? |GQ16-ar.mp3|Arabic|هل تفهم هذه اللغة؟
If you want the information repeated you can signal to me|G21-ar.mp3|Arabic|يمكنكم أن تشيروا إلى إن تريدون أن أكرر المعلومات
What is your name?|GQ1-ar.mp3|Arabic|ماسمك؟
Where do you come from? |GQ2-ar.mp3|Arabic|كم يبلغ عدد الأشخاص المسافرين في مجموعتك؟
How old are you? |GQ3-ar.mp3|Arabic|كم تبلغ من العمر؟
How many people are traveling in your family group? |GQ4-ar.mp3|Arabic|كم يبلغ عدد الأشخاص المسافرين في مجموعة أسرتك؟
Make sure your children know where the family group are at all times |FL8-ar.mp3|Arabic|إحرصوا على أن يعرف أطفالكم مكان وجود أسرتكم في كافة الأوقات
Have you received food and water? |SQ1-ar.mp3|Arabic|هل حصلتم على طعام وماء؟
The hot tea/coffee tent is over there|S6-ar.mp3|Arabic|خيمة القهوة/الشاي السخن هناك
The toilets are over there |S3-ar.mp3|Arabic|المراحيض هناك
There are disabled access toilets |S4-ar.mp3|Arabic|ثمة مراحيض للأشخاص ذوي الإعاقة
Have you received medical care? |SQ2-ar.mp3|Arabic|هل حصلتم على رعاية طبية؟
Do you need somewhere to stay tonight? |SQ3-ar.mp3|Arabic|هل تحناجون لأن يمكث أحدهم في الليل؟
If you would like to stay here tonight it is free to do so |S14-ar.mp3|Arabic|يمكنك القاء هنا هذه الليلة مجاناً إن تريدون ذلك
Did you receive a blanket or warm clothing? |SQ4-ar.mp3|Arabic|هل حصلتم على حرام أو ملابس دافئة؟
Blankets are distributed over there |S27-ar.mp3|Arabic|يتم توزيع الحرامات هناك
You can collect children's clothes and shoes over there |S12-ar.mp3|Arabic|يمكنكم أخذ ملابس وأحذية للأطفال من هناك
Are you feeling very cold? |SQ5-ar.mp3|Arabic|هل تشعرون ببرد شديد؟
You can take a warm shower over there |S5-ar.mp3|Arabic|يمكنكم الاستحمام بمياه ساخنة هناك
If you would like to talk about any problems or concerns we can arrange for a translator |X15-ar.mp3|Arabic|إن تريدون التحدث عن أي مشكلة أو أمر يثير القلق يمكننا أن نجد لكم مترجماً
Arrange a meeting point on this site with your children and family in case you get separated |FL9-ar.mp3|Arabic|حددوا نقطة التقاء في هذا الموقع مع أطفالكم وأسرتكم في حال انفصلتم
If you find a child who is lost please report them to the children and families' center |FL16-ar.mp3|Arabic|الرجاء التبليغ إذا وجدتم طفلاً ضائعاً إلى مركز الأسرة
There is free WIFI here |S1-ar.mp3|Arabic|الاتصال اللاسلكي متوفر هنا مجاناً
Do you understand this language? |GQ16-ps.mp3|Pashto|پي دي جبه باندي پوهيږي 
If you want the information repeated you can signal to me|G21-ps.mp3|Pashto|که تاسو علميت يا معلومات تکرارول غواړي، نو ماله اشاره يا نښه راکولے شي
What is your name?|GQ1-ps.mp3|Pashto|سته نامه سه ده?
Where do you come from? |GQ2-ps.mp3|Pashto|د کوم ځګي نه راغلے يي?
How old are you? |GQ3-ps.mp3|Pashto|د سو کالو يي? 
How many people are traveling in your family group? |GQ4-ps.mp3|Pashto|د ټبر سومره کسان يا بنيادمان تاسو په سفر کښي يي?  
Make sure your children know where the family group are at all times |FL8-ps.mp3|Pashto|دا يقيني کړي چي ماشومان تا دا علم وي چي کوم ځائي کښي هر سعت د خاندان غنډه موجود وي 
Have you received food and water? |SQ1-ps.mp3|Pashto|تاسو سره اوبه او خوراک شته? 
The hot tea/coffee tent is over there|S6-ps.mp3|Pashto|د قهوه يا چائے تمبوک يا خيمه دلته کښې موجود ده
The toilets are over there |S3-ps.mp3|Pashto|تشنابونه يا توائيلت دلته کښي موجود دي 
There are disabled access toilets |S4-ps.mp3|Pashto|دالته کښي معزورو د پاره تشناب شته 
Have you received medical care? |SQ2-ps.mp3|Pashto|تاسو سره دارو درمل شته? 
Do you need somewhere to stay tonight? |SQ3-ps.mp3|Pashto|تاسو ته ضرورت شته چي د شپي پاتي کيدو د پاره يو ځايي? 
If you would like to stay here tonight it is free to do so |S14-ps.mp3|Pashto|که چري تاسو دالته کښي شپه تيرول غواړي نو دا بغير پيسو يا مفت دي 
Did you receive a blanket or warm clothing? |SQ4-ps.mp3|Pashto|تاسو په لاس کړي دي شړي او ګرمي جامي? 
Blankets are distributed over there |S27-ps.mp3|Pashto|شړي دالته کښي تقسيميږي 
You can collect children's clothes and shoes over there |S12-ps.mp3|Pashto|تاسو دالته کښي د ماشومانو د پاره جامي او بوټان په لاس کولے شي 
Are you feeling very cold? |SQ5-ps.mp3|Pashto|ستاسو يخني کيږي? 
You can take a warm shower over there |S5-ps.mp3|Pashto|تاسو دالته کښي په ګرمو اوبو باندي تشناب کولے شي 
If you would like to talk about any problems or concerns we can arrange for a translator |X15-ps.mp3|Pashto|که تاسو چري خبري اتري کول غواړي د سفر باره کښي نو مونږ د يو ترجان بندوبست کولے شو 
Arrange a meeting point on this site with your children and family in case you get separated |FL9-ps.mp3|Pashto|په ځاي کښي يو ميټنګ بندوبست اوکړي د خپلو ماشومانو او خاندان سره که چري ممکن شي تاسو بيل بيل يا يو بل نه لري شي. 
If you find a child who is lost please report them to the children and families' center |FL16-ps.mp3|Pashto|که چري تاسو تا يو ماشوم ملاؤ شه چي ورک شوي وي، نو مهروباني اوکي چي دا رپورت کړي د ماشومانو يا خانداني سنتر ته. 
There is free WIFI here |S1-ps.mp3|Pashto|دلته کښي ازاد انترنت موجود دے 
Do you understand this language? |GQ16-fa.mp3|Farsi|آیا این زبان را متوجه می شوید؟
If you want the information repeated you can signal to me|G21-fa.mp3|Farsi|اگر می خواهید اطلاعات را دوباره تکرار کنم لطفا به من اشاره کنید
What is your name?|GQ1-fa.mp3|Farsi|نام شما چیست؟
Where do you come from? |GQ2-fa.mp3|Farsi|اهل کجا هستید؟
How old are you? |GQ3-fa.mp3|Farsi|چند سال دارید؟
How many people are traveling in your family group? |GQ4-fa.mp3|Farsi|چند نفر در گروه خانوادگی شما در سفر هستند؟
Make sure your children know where the family group are at all times |FL8-fa.mp3|Farsi|مطمئن شوید که کودکان شما همیشه می دانند که گروه خانوادگی شما کجا می باشد
Have you received food and water? |SQ1-fa.mp3|Farsi|آیا غذا و آب دریافت کرده اید؟
The hot tea/coffee tent is over there|S6-fa.mp3|Farsi|چادر چای/قهوه گرم آن طرف است
The toilets are over there |S3-fa.mp3|Farsi|سرویس های بهداشتی آن طرف هستند
There are disabled access toilets |S4-fa.mp3|Farsi|سرویس بهداشتی مخصوص افراد معلول وجود دارید
Have you received medical care? |SQ2-fa.mp3|Farsi|آیا مراقبت پزشکی دریافت کرده اید؟
Do you need somewhere to stay tonight? |SQ3-fa.mp3|Farsi|آیا امشب به جایی برای اقامت نیاز دارید؟
If you would like to stay here tonight it is free to do so |S14-fa.mp3|Farsi|می توانید به صورت رایگان امشب اینجا اقامت کنید
Did you receive a blanket or warm clothing? |SQ4-fa.mp3|Farsi|آیا پتو یا لباس گرم دریافت کردید؟
Blankets are distributed over there |S27-fa.mp3|Farsi|در آن طرف پتو توزیع می شود
You can collect children's clothes and shoes over there |S12-fa.mp3|Farsi|می توانید آن طرف لباس و کفش برای کودکان دریافت کنید
Are you feeling very cold? |SQ5-fa.mp3|Farsi|آیا احساس سرمای شدید می کنید؟
You can take a warm shower over there |S5-fa.mp3|Farsi|می توانید آنجا دوش آب گرم بگیرید
If you would like to talk about any problems or concerns we can arrange for a translator |X15-fa.mp3|Farsi|اگر مایلید درباره هرگونه نگرانی یا موضوعی صحبت کنید می توانیم یک مترجم فراهم کنیم
Arrange a meeting point on this site with your children and family in case you get separated |FL9-fa.mp3|Farsi|در این مکان یک نقطه ملاقات را تعیین کنید تا در صورتی که از هم جدا شدید آنجا یکدیگر را پیدا کنید
If you find a child who is lost please report them to the children and families' center |FL16-fa.mp3|Farsi|اگر کودکی را دیدید که گم شده است لطفا به مرکز کودکان و خانواده اطلاع دهید
There is free WIFI here |S1-fa.mp3|Farsi|در اینجا اینترنت بیسیم رایگان وجود دارد